qualified_name,name,class,lineno,async,decorators,file,A2該当,A2細分類,内容区分,備考,status
gwexpy.timeseries._spectral_special.TimeSeriesSpectralSpecialMixin.emd,emd,TimeSeriesSpectralSpecialMixin,636,False,[],gwexpy/_spectral_special.py,Yes,A2-c,数値,external:np.random.seed,
gwexpy.timeseries._spectral_special.TimeSeriesSpectralSpecialMixin.hilbert_analysis,hilbert_analysis,TimeSeriesSpectralSpecialMixin,709,False,[],gwexpy/_spectral_special.py,Yes,A2-d,数値,"external:np.abs,np.angle,np.gradient;kw",
gwexpy.timeseries._spectral_special.TimeSeriesSpectralSpecialMixin.hht,hht,TimeSeriesSpectralSpecialMixin,756,False,[],gwexpy/_spectral_special.py,Yes,A2-d,数値,"external:np.add.at,np.arange,np.digitize;kw",
gwexpy.timeseries._statistics.GrangerResult.__new__,__new__,GrangerResult,26,False,[],gwexpy/_statistics.py,No,非A2,非数値,,
gwexpy.timeseries._statistics.GrangerResult.__init__,__init__,GrangerResult,29,False,[],gwexpy/_statistics.py,No,非A2,非数値,,
gwexpy.timeseries._statistics.GrangerResult.__getitem__,__getitem__,GrangerResult,34,False,[],gwexpy/_statistics.py,No,非A2,非数値,,
gwexpy.timeseries._statistics.GrangerResult.__contains__,__contains__,GrangerResult,43,False,[],gwexpy/_statistics.py,No,非A2,非数値,,
gwexpy.timeseries._statistics.GrangerResult.keys,keys,GrangerResult,46,False,[],gwexpy/_statistics.py,No,非A2,非数値,,
gwexpy.timeseries._statistics.GrangerResult.items,items,GrangerResult,49,False,[],gwexpy/_statistics.py,No,非A2,非数値,,
gwexpy.timeseries._statistics.StatisticsMixin.correlation,correlation,StatisticsMixin,71,False,[],gwexpy/_statistics.py,Yes,A2-c,数値,kw,
gwexpy.timeseries._statistics.StatisticsMixin.mic,mic,StatisticsMixin,97,False,[],gwexpy/_statistics.py,Yes,A2-c,数値,kw,
gwexpy.timeseries._statistics.StatisticsMixin.pcc,pcc,StatisticsMixin,103,False,[],gwexpy/_statistics.py,Yes,A2-c,数値,kw,
gwexpy.timeseries._statistics.StatisticsMixin.ktau,ktau,StatisticsMixin,109,False,[],gwexpy/_statistics.py,Yes,A2-c,数値,kw,
gwexpy.timeseries._statistics.StatisticsMixin.distance_correlation,distance_correlation,StatisticsMixin,115,False,[],gwexpy/_statistics.py,Yes,A2-c,数値,kw,
